geoid,Census Tract,Median Income
14000US06037101110,"Census Tract 1011.10, Los Angeles, CA",63534
14000US06037101122,"Census Tract 1011.22, Los Angeles, CA",90389
14000US06037101210,"Census Tract 1012.10, Los Angeles, CA",44083
14000US06037101220,"Census Tract 1012.20, Los Angeles, CA",43713
14000US06037101300,"Census Tract 1013, Los Angeles, CA",81776
14000US06037101400,"Census Tract 1014, Los Angeles, CA",75139
14000US06037102103,"Census Tract 1021.03, Los Angeles, CA",76833
14000US06037102104,"Census Tract 1021.04, Los Angeles, CA",80789
14000US06037102105,"Census Tract 1021.05, Los Angeles, CA",57614
14000US06037102107,"Census Tract 1021.07, Los Angeles, CA",109375
14000US06037103101,"Census Tract 1031.01, Los Angeles, CA",99875
14000US06037103102,"Census Tract 1031.02, Los Angeles, CA",75276
14000US06037103200,"Census Tract 1032, Los Angeles, CA",84286
14000US06037103300,"Census Tract 1033, Los Angeles, CA",105909
14000US06037103400,"Census Tract 1034, Los Angeles, CA",89926
14000US06037104103,"Census Tract 1041.03, Los Angeles, CA",97543
14000US06037104105,"Census Tract 1041.05, Los Angeles, CA",54960
14000US06037104108,"Census Tract 1041.08, Los Angeles, CA",51875
14000US06037104124,"Census Tract 1041.24, Los Angeles, CA",77885
14000US06037104201,"Census Tract 1042.01, Los Angeles, CA",60129
14000US06037104203,"Census Tract 1042.03, Los Angeles, CA",49609
14000US06037104204,"Census Tract 1042.04, Los Angeles, CA",59000
14000US06037104310,"Census Tract 1043.10, Los Angeles, CA",74940
14000US06037104320,"Census Tract 1043.20, Los Angeles, CA",56021
14000US06037104401,"Census Tract 1044.01, Los Angeles, CA",69000
14000US06037104403,"Census Tract 1044.03, Los Angeles, CA",60804
14000US06037104404,"Census Tract 1044.04, Los Angeles, CA",56974
14000US06037104500,"Census Tract 1045, Los Angeles, CA",64229
14000US06037104610,"Census Tract 1046.10, Los Angeles, CA",61359
14000US06037104620,"Census Tract 1046.20, Los Angeles, CA",64648
14000US06037104701,"Census Tract 1047.01, Los Angeles, CA",35357
14000US06037104703,"Census Tract 1047.03, Los Angeles, CA",41875
14000US06037104704,"Census Tract 1047.04, Los Angeles, CA",43338
14000US06037104810,"Census Tract 1048.10, Los Angeles, CA",74149
14000US06037104821,"Census Tract 1048.21, Los Angeles, CA",70231
14000US06037104822,"Census Tract 1048.22, Los Angeles, CA",60515
14000US06037106010,"Census Tract 1060.10, Los Angeles, CA",89946
14000US06037106020,"Census Tract 1060.20, Los Angeles, CA",79703
14000US06037106111,"Census Tract 1061.11, Los Angeles, CA",95288
14000US06037106112,"Census Tract 1061.12, Los Angeles, CA",95625
