Permit Type,Initiating Office,Issue Datw,Valuation,# of Residential Units,Zone,Latitude,Longitude
Bldg-New,VAN NUYS,3/3/2020,604000,1,[T]RE-1,34.28433,-118.57742
Bldg-New,WEST LA,5/22/2017,1055000,1,R1-1,34.00514,-118.43733
Bldg-New,VAN NUYS,3/7/2017,462000,1,R1-1,34.0102,-118.43502
Bldg-New,VAN NUYS,5/21/2019,435000,1,R1-1-RIO,34.15157,-118.38213
Bldg-New,SOUTH LA,12/27/2018,188400,1,C2-1,34.03941,-118.3476
Bldg-New,METRO,10/31/2019,306000,1,R1-1-O,34.03832,-118.42841
Bldg-New,WEST LA,7/27/2020,403333,1,R2-1,34.03914,-118.44521
Bldg-New,SOUTH LA,1/16/2020,200000,1,R1-1,34.12013,-118.21011
Bldg-New,VAN NUYS,3/7/2019,688000,1,[T]RE-1,34.28322,-118.58092
Bldg-New,WEST LA,1/16/2020,975000,1,RE15-1-H,34.07785,-118.50108
Bldg-Alter/Repair,VAN NUYS,5/10/2019,20000,1,R3-1,34.21923,-118.53629
Bldg-New,VAN NUYS,11/6/2017,525000,1,R1-1,34.04897,-118.52578
Bldg-New,VAN NUYS,3/3/2020,688000,1,[T]RE-1,34.28437,-118.57763
Bldg-New,VAN NUYS,12/28/2018,231000,1,(T)(Q)C2-1,34.21979,-118.6095
Bldg-New,METRO,4/12/2019,450000,1,R1V2-O,34.05347,-118.39112
Bldg-New,VAN NUYS,12/28/2018,246000,1,(T)(Q)C2-1,34.21979,-118.6095
Bldg-New,SOUTH LA,10/28/2020,167458,1,RD1.5-1,34.02722,-118.36156
Bldg-Addition,SOUTH LA,1/11/2018,35000,1,RD1.5-1,34.02428,-118.33152
Bldg-Addition,SOUTH LA,3/14/2019,142000,1,R2-1,33.97864,-118.27056
Bldg-New,VAN NUYS,12/28/2018,246000,1,(T)(Q)C2-1,34.21979,-118.6095
Bldg-Addition,METRO,5/13/2020,40000,1,R2-1,34.00719,-118.25065
Bldg-Addition,METRO,5/17/2018,44000,1,R3-1XL,34.09353,-118.29595
Bldg-New,VAN NUYS,9/4/2018,641000,1,R1V1,34.0472,-118.52017
Bldg-New,WEST LA,1/17/2020,900000,1,RE11-1-HCR,34.12269,-118.36979
Bldg-New,WEST LA,4/20/2018,780000,1,R1-1,34.06787,-118.46617
Bldg-New,VAN NUYS,1/13/2020,244000,1,R1-1,34.09193,-118.22088
Bldg-New,WEST LA,1/15/2020,2000000,1,RS-1,34.05196,-118.48295
Bldg-New,VAN NUYS,5/29/2019,220000,1,RU-1,34.28152,-118.38439
Bldg-New,VAN NUYS,1/14/2020,350000,1,R1V2,33.96707,-118.40778
Bldg-New,METRO,2/15/2018,318525,1,RD1.5-1,34.07042,-118.24675
Bldg-New,VAN NUYS,5/29/2019,220000,1,RU-1,34.2816,-118.38448
Bldg-New,METRO,1/14/2020,4014931,1,C2-1-SP,34.03164,-118.33221
Bldg-New,VAN NUYS,7/11/2017,282000,1,R1-1,34.20529,-118.50007
Bldg-New,VAN NUYS,4/9/2019,797400,1,[T]RE-1,34.28316,-118.58114
Bldg-New,VAN NUYS,11/13/2018,1582000,1,RE11-1,34.14028,-118.49843
Bldg-New,METRO,1/17/2020,630100,1,RW1-1-O,33.98453,-118.46693
Bldg-New,VAN NUYS,12/5/2017,338000,1,R1-1-O,33.98703,-118.46105
Bldg-New,METRO,2/15/2018,416480,1,RD1.5-1,34.07042,-118.24675
Bldg-New,METRO,1/17/2020,4200000,1,RE15-1-H-HCR,34.09668,-118.41719
Bldg-New,METRO,9/13/2017,1000000,1,R1-1-RFA-RIO,34.15192,-118.41036
Bldg-New,VAN NUYS,9/11/2018,742000,1,R1-1,34.03746,-118.52937
Bldg-New,VAN NUYS,7/9/2013,320000,1,(T)R1-1,34.22227,-118.42466
Bldg-New,VAN NUYS,1/17/2020,708000,1,R1-1,34.08466,-118.35544
Bldg-New,VAN NUYS,10/27/2017,632000,1,RE11-1-RFA-RIO,34.14311,-118.38538
Bldg-New,VAN NUYS,8/13/2019,508000,1,R1-1-RIO,34.15061,-118.35393
Bldg-New,WEST LA,9/8/2017,500000,1,R1-1-O,34.06155,-118.42135
Bldg-New,WEST LA,1/26/2018,500000,1,R1-1-O,34.05656,-118.42012
Bldg-Addition,METRO,11/28/2017,164000,1,RD2-1,34.03446,-118.35858
Bldg-New,WEST LA,10/29/2020,700000,1,R1-1-O,34.04007,-118.41936
Bldg-New,METRO,5/7/2019,282500,1,R2-1-O,34.04936,-118.37896
Bldg-Addition,METRO,1/17/2020,250000,1,R2-1,33.94416,-118.27607
Bldg-New,WEST LA,3/10/2017,625000,1,RE11-1,34.04681,-118.5056
Bldg-New,METRO,5/13/2019,500000,1,R1V2,34.04845,-118.3878
Bldg-New,VAN NUYS,12/28/2018,231000,1,(T)(Q)C2-1,34.21979,-118.6095
Bldg-New,METRO,3/22/2018,375000,1,R1-1,34.16214,-118.49976
Bldg-Alter/Repair,VAN NUYS,6/13/2019,5000,1,R2-1,34.00909,-118.30328
Bldg-New,WEST LA,11/3/2016,1810000,1,RE15-1,34.0676,-118.48727
Bldg-New,VAN NUYS,10/29/2019,603000,1,[T]RE-1,34.28551,-118.57202
Bldg-New,METRO,1/12/2018,413740,1,RD1.5-1,34.07042,-118.24675
Bldg-New,VAN NUYS,1/16/2020,693000,1,RA-1,34.15055,-118.50396
Bldg-New,VAN NUYS,6/6/2019,600000,1,RD2-1-RIO,34.14893,-118.38021
Bldg-New,VAN NUYS,1/28/2020,725000,1,[T]RE-1,34.2843,-118.57721
Bldg-New,METRO,9/15/2017,200000,1,RD2-1VL,34.09733,-118.27464
Bldg-New,VAN NUYS,3/9/2018,1102000,1,RE15-1-H,34.14873,-118.49831
Bldg-New,WEST LA,8/6/2018,240000,1,RD1.5-1,34.11997,-118.19639
Bldg-New,WEST LA,7/3/2019,150000,1,RD2-1,33.95609,-118.28159
Bldg-New,WEST LA,2/19/2019,255218,1,RD2-1,33.96192,-118.30786
Bldg-New,METRO,6/12/2020,300000,1,RD1.5-1XL-RIO,34.10986,-118.26602
Bldg-New,WEST LA,5/17/2018,738019,1,R1V2,33.97804,-118.39898
Bldg-New,METRO,12/5/2016,400000,1,R2-1VL,34.10462,-118.25427
Bldg-New,VAN NUYS,6/27/2019,503000,1,R1-1-RIO,34.14834,-118.40744
Bldg-New,METRO,5/17/2017,315000,1,R1-1,34.10213,-118.22813
Bldg-New,METRO,12/16/2019,363000,1,R1V2,34.04606,-118.3829
Bldg-New,VAN NUYS,4/18/2019,1000000,1,R1V1,34.0498,-118.52179
Bldg-New,VAN NUYS,5/4/2018,295000,1,R1-1,34.20549,-118.50023
Bldg-Alter/Repair,VAN NUYS,5/9/2017,16500,1,R1-1,34.16256,-118.36255
Bldg-New,METRO,6/25/2018,200000,1,R2-1VL,34.09133,-118.27364
Bldg-New,VAN NUYS,8/13/2019,362000,1,R1-1-RIO,34.16138,-118.45923
Bldg-New,WEST LA,5/1/2018,517776,1,R1V3,34.07948,-118.36705
Bldg-Addition,SOUTH LA,11/29/2016,205000,1,R2-1,33.97889,-118.27175
Bldg-New,WEST LA,8/6/2018,240000,1,RD1.5-1,34.11997,-118.19639
Bldg-New,VAN NUYS,1/31/2019,700000,1,R1-1,34.06484,-118.47652
Bldg-New,VAN NUYS,6/29/2018,350000,1,R1-1-CUGU,34.22288,-118.36382
Bldg-New,VAN NUYS,6/13/2019,425000,1,R1V2,34.03435,-118.40591
Bldg-Alter/Repair,METRO,2/12/2016,33000,1,[Q]R3-1-O,34.04368,-118.31511
Bldg-New,METRO,6/12/2020,300000,1,RD1.5-1XL-RIO,34.10986,-118.26602
Bldg-New,VAN NUYS,10/4/2018,509000,1,R1V2,34.08098,-118.34969
Bldg-New,VAN NUYS,3/30/2018,687000,1,R1-1-RFA-RIO,34.15589,-118.40895
Bldg-New,METRO,2/15/2018,302633,1,RD1.5-1,34.07042,-118.24675
Bldg-New,VAN NUYS,5/30/2019,850000,1,[T]RE-1,34.28291,-118.58209
Bldg-Addition,VAN NUYS,4/7/2017,50000,1,R1-1-RIO,34.19536,-118.55446
Bldg-New,VAN NUYS,7/18/2017,300000,1,RD1.5-1-O,34.05567,-118.42409
Bldg-New,WEST LA,6/12/2020,495734.5,1,R1-1,34.14439,-118.4297
Bldg-New,VAN NUYS,7/18/2017,300000,1,RD1.5-1-O,34.05567,-118.42409
Bldg-New,WEST LA,8/6/2018,240000,1,RD1.5-1,34.11997,-118.19639
Bldg-Addition,VAN NUYS,3/31/2016,150000,1,R2-1-O,34.05316,-118.34629
Bldg-New,WEST LA,1/23/2020,1500000,1,RA-1,34.06465,-118.47933
Bldg-New,METRO,11/8/2018,325000,1,R1-1,34.20657,-118.60254
